Image,Correct,Total,Accuracy
data/img/img__00001_.png,4,8,0.50
data/img/img__00002_.png,5,8,0.62
data/img/img__00003_.png,4,8,0.50
data/img/img__00004_.png,3,8,0.38
data/img/img__00005_.png,2,8,0.25
data/img/img__00006_.png,6,8,0.75
data/img/img__00007_.png,5,8,0.62
data/img/img__00008_.png,4,8,0.50
data/img/img__00009_.png,4,8,0.50
data/img/img__00010_.png,6,8,0.75
data/img/img__00011_.png,4,8,0.50
data/img/img__00012_.png,4,8,0.50
data/img/img__00013_.png,5,8,0.62
data/img/img__00014_.png,5,8,0.62
data/img/img__00015_.png,6,8,0.75
data/img/img__00016_.png,3,8,0.38
data/img/img__00017_.png,6,8,0.75
data/img/img__00018_.png,3,8,0.38
data/img/img__00019_.png,5,8,0.62
data/img/img__00020_.png,4,8,0.50
data/img/img__00021_.png,3,8,0.38
data/img/img__00022_.png,5,8,0.62
data/img/img__00023_.png,3,8,0.38
data/img/img__00024_.png,4,8,0.50
data/img/img__00025_.png,4,8,0.50
data/img/img__00026_.png,5,8,0.62
data/img/img__00027_.png,5,8,0.62
data/img/img__00028_.png,4,8,0.50
data/img/img__00029_.png,4,8,0.50
data/img/img__00030_.png,5,8,0.62
data/img/img__00031_.png,5,8,0.62
data/img/img__00032_.png,5,8,0.62
data/img/img__00033_.png,4,8,0.50
data/img/img__00034_.png,5,8,0.62
data/img/img__00035_.png,4,8,0.50
data/img/img__00036_.png,5,8,0.62
data/img/img__00037_.png,3,8,0.38
data/img/img__00038_.png,5,8,0.62
data/img/img__00039_.png,4,7,0.57
data/img/img__00040_.png,5,8,0.62
data/img/img__00041_.png,5,8,0.62
data/img/img__00042_.png,5,8,0.62
data/img/img__00043_.png,6,8,0.75
data/img/img__00044_.png,4,8,0.50
data/img/img__00045_.png,3,8,0.38
data/img/img__00046_.png,3,8,0.38
data/img/img__00047_.png,4,8,0.50
data/img/img__00048_.png,4,8,0.50
data/img/img__00049_.png,3,8,0.38
data/img/img__00050_.png,7,8,0.88
data/img/img__00051_.png,4,8,0.50
data/img/img__00052_.png,6,8,0.75
data/img/img__00053_.png,4,8,0.50
data/img/img__00054_.png,5,8,0.62
data/img/img__00055_.png,5,8,0.62
data/img/img__00056_.png,6,8,0.75
data/img/img__00057_.png,4,8,0.50
data/img/img__00058_.png,6,8,0.75
data/img/img__00059_.png,5,8,0.62
data/img/img__00060_.png,6,8,0.75
data/img/img__00061_.png,3,8,0.38
data/img/img__00062_.png,1,8,0.12
data/img/img__00063_.png,5,8,0.62
data/img/img__00064_.png,5,8,0.62
data/img/img__00065_.png,4,8,0.50
data/img/img__00066_.png,4,8,0.50
data/img/img__00067_.png,6,8,0.75
data/img/img__00068_.png,3,8,0.38
data/img/img__00069_.png,4,8,0.50
data/img/img__00070_.png,3,8,0.38
data/img/img__00071_.png,3,8,0.38
data/img/img__00072_.png,5,8,0.62
data/img/img__00073_.png,6,8,0.75
data/img/img__00074_.png,4,8,0.50
data/img/img__00075_.png,5,8,0.62
data/img/img__00076_.png,6,8,0.75
data/img/img__00077_.png,5,8,0.62
data/img/img__00078_.png,6,8,0.75
data/img/img__00079_.png,4,8,0.50
data/img/img__00080_.png,4,8,0.50
data/img/img__00081_.png,1,8,0.12
data/img/img__00082_.png,5,8,0.62
data/img/img__00083_.png,3,8,0.38
data/img/img__00084_.png,6,8,0.75
data/img/img__00085_.png,6,8,0.75
data/img/img__00086_.png,4,8,0.50
data/img/img__00087_.png,5,8,0.62
data/img/img__00088_.png,3,8,0.38
data/img/img__00089_.png,5,8,0.62
data/img/img__00090_.png,5,8,0.62
data/img/img__00091_.png,5,8,0.62
data/img/img__00092_.png,3,8,0.38
data/img/img__00093_.png,4,8,0.50
data/img/img__00094_.png,4,8,0.50
data/img/img__00095_.png,6,8,0.75
data/img/img__00096_.png,3,8,0.38
data/img/img__00097_.png,5,8,0.62
data/img/img__00098_.png,4,8,0.50
data/img/img__00099_.png,5,8,0.62
data/img/img__00100_.png,1,8,0.12
